track_id,length,artists,album,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,minutes,beat_density,Popularity_Rank,melody_complexity,instrumental_acoustic_ratio,favorite
41cv1emXVm5Su4DWvltXa6,183680,1577,7447,4,0.659,0.0174,0.823,112.931,1.82e-06,-5.77,0.11,4.0,0.405,0.0415,0,72.0,3.0613333333333332,36.889481707317074,1662.5,451.724,0.00010459770114942529,0
6vsa5VDsIaWC8oJnowU65l,191627,2143,8568,4,0.696,0.0603,0.555,104.989,0.0,-7.035,0.175,11.0,0.577,0.0353,1,77.0,3.193783333333333,32.87292500534893,937.0,419.956,0.0,0
1UlwFwRrb4Kth3TwnjBAJV,183907,2249,1820,3,0.591,0.234,0.756,139.991,1.44e-06,-4.573,0.097,8.0,0.46,0.0403,1,72.0,3.0651166666666665,45.672323511339975,1662.5,419.97300000000007,6.153846153846153e-06,0
5ya0TmUQw2wHMkq36rPsnd,189987,5345,5547,4,0.461,0.000219,0.887,95.964,0.0,-4.871,0.104,11.0,0.411,0.0429,0,78.0,3.16645,30.30649465489744,814.5,383.856,0.0,0
3vKAQFXRh0lkJdPuS5pclq,259876,234,4065,4,0.684,0.171,0.686,110.476,0.0,-4.833,0.173,4.0,0.501,0.0287,1,69.0,4.331266666666667,25.506626237128476,2222.5,441.904,0.0,0
5wtPc1OQ7g1H8FBkwWqbhh,194267,2131,1182,4,0.623,0.00714,0.874,109.97,0.0,-3.058,0.143,10.0,0.961,0.0329,1,76.0,3.2377833333333332,33.96459511908868,1069.5,439.88,0.0,0
0GdZqKPBrvkpo7mk2OyHtf,201485,7586,748,4,0.659,0.0164,0.865,126.998,0.0,-4.416,0.134,7.0,0.761,0.0541,1,65.0,3.3580833333333335,37.818596917884705,3045.5,507.992,0.0,0
2gT2iF1YK5r54A2PDEXVv8,218160,7725,6335,3,0.518,0.0258,0.557,111.865,2.46e-06,-4.839,0.156,1.0,0.216,0.0332,1,77.0,3.636,30.765951595159514,937.0,335.59499999999997,9.534883720930233e-05,0
4bARASJEokNacSYtEhoNBp,216673,5650,1398,4,0.484,0.11,0.753,80.995,5.95e-06,-5.23,0.193,2.0,0.281,0.0503,1,71.0,3.6112166666666665,22.42872900638289,1837.0,323.98,5.409090909090909e-05,0
103u49mLoJUge83B1CnLxI,167535,3145,9721,4,0.662,0.0875,0.77,132.057,0.0,-4.887,0.35,0.0,0.769,0.0367,1,80.0,2.79225,47.29411764705882,592.5,528.228,0.0,0
