track_id,Song,Artists,Album,length,time_signature,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,key,valence,speechiness,mode,Popularity,favorite
70LxJJIKAOgWNrpV7weCTm,Woie,['Aidonia'],Woie,146526,4,0.752,0.418,0.739,94.913,1.1e-05,-6.396,0.183,5.0,0.614,0.184,0,39.0,0
0TTOsyDKykWhCh3qDd9wMY,Talibans,['Byron Messia'],No Love,188738,4,0.929,0.571,0.43,103.01,0.0,-9.387,0.102,4.0,0.498,0.206,0,74.0,0
7dfs1SOSa7WzEeTC5HNS7P,TOKYO,"['Bayka', 'GachaMedz']",TOKYO,158435,4,0.905,0.143,0.587,103.003,0.0227,-7.468,0.118,5.0,0.512,0.188,0,41.0,0
3EBBpWG3AtXmN6Iu4rj0Mr,First Night,"['Roze Don', '1stClass']",First Night,160888,4,0.878,0.336,0.639,107.968,0.00181,-4.955,0.113,10.0,0.244,0.0952,0,40.0,0
7vuQEzDmZAGUkfFRDNd4OW,SIDUNG,['Bayka'],SIDUNG,145646,4,0.814,0.0327,0.769,98.972,0.000456,-5.83,0.156,2.0,0.17,0.209,1,51.0,0
6scZgRQfuOawDn6bX5LRQd,Dungeon,['Malie Donn'],Dungeon,177600,5,0.604,0.686,0.417,130.418,0.0735,-7.727,0.107,1.0,0.508,0.191,0,50.0,0
3rnMusaZSGqhvWJG63Li55,GPP,"['Jada Kingdom', 'Di Genius']",GPP,193959,3,0.626,0.559,0.608,187.839,0.0,-5.238,0.354,0.0,0.511,0.0422,1,51.0,0
1cub6yoVokdIB7MAF8Brza,Life of the Party,"['ALLBLACK', 'E-40']",Life of the Party,171494,4,0.926,0.00399,0.54,97.973,0.0,-7.285,0.0922,4.0,0.52,0.221,1,0.0,0
1cPT4wyiE3w8VNfpHPEa0k,LSG,"['G Perico', 'Gotdamnitdupri']",LA Summers 3,171528,4,0.92,0.0263,0.316,111.963,0.82,-11.896,0.108,7.0,0.18,0.181,0,0.0,0
1LYJJ6e8Zj8B2Wx5WmAohe,Eat It Up,"['Lil Vada', 'DonnySolo']",Eat It Up,129724,4,0.954,0.0536,0.742,112.134,0.0,-4.724,0.0973,10.0,0.641,0.301,0,42.0,0
