track_id,album,artists,length,danceability,tempo,energy,acousticness,time_signature,favorite
2UHnJzIiyNqPTufzxHdTQx,4589,3497,142759,0.758,96.059,0.618,0.0329,4,0
5UWJ898JHDe9Ong9Gnkdhd,7333,688,244271,0.477,96.485,0.537,0.306,4,0
6AuTEZjVz0VZUsSLyezRma,5531,7397,175618,0.921,127.958,0.758,0.265,4,0
322B6Not1OsMLCCxHg6sZl,8802,7597,137003,0.696,106.036,0.597,0.00519,4,0
4EEhiTd2tMLmb7v24EnmG7,3633,4708,194312,0.403,108.934,0.35,0.492,4,0
5nzB0LJDNELDNb06PQMrWF,6934,710,180728,0.639,155.055,0.74,0.000665,4,0
7eCpxZdpP7kz9j2OUJLbpd,1683,7637,220814,0.337,172.045,0.902,0.0379,4,0
1YoOb9usnbDLSAACSSCwzP,511,4285,334755,0.619,85.796,0.475,0.0678,4,0
6i7QP9auNhpIZgPopuXPOm,6059,4689,225708,0.592,126.808,0.209,0.674,4,0
7es13mrHNacEWpBIuIOw5A,1439,1047,349120,0.423,143.974,0.444,0.508,4,0
32TjTdbpM9dv5gBVFXbU8S,2936,6642,196534,0.479,126.957,0.61,0.241,4,0
4VmFqEEqbLReGKJQhDl9c0,400,3506,242220,0.541,151.084,0.787,0.287,4,0
4MWKhUasdUFoxsOc9w1Feq,4873,6962,203130,0.157,187.236,0.93,0.0487,3,0
0fVQEAJzB0WDLgS28zbECm,7538,375,270264,0.596,124.722,0.514,0.501,3,0
1uni8la2ZuN5oGlkAFBn9R,862,5374,219281,0.488,138.763,0.202,0.888,4,0
2vzV2cEIRSAid5CUPjzYnE,4892,4253,214505,0.347,157.826,0.942,4.54e-05,4,0
1qLBZLeGS6FEHgVKWqhuVv,1649,2120,160602,0.362,132.812,0.712,0.00453,4,0
64YqaPCvvnHxj96Qlo1a9w,1797,3590,171000,0.754,140.0,0.812,0.0364,4,0
