ID,Song Name,Artists,Album Name,Popularity
3KzgdYUlqV6TOG7JCmx2Wg,Beyond the Sea,['Bobby Darin'],That's All,71
3HuJDcOWx0gE9Yng2uWY7K,Dream A Little Dream Of Me,['Louis Armstrong'],What A Wonderful World,69
0e1mMD6Pkn7zd9mhCQnrsY,I Walk The Line - Single Version,"['Johnny Cash', 'The Tennessee Two']",Get Rhythm / I Walk the Line,50
24lvdbt9pS7DFEjhEWSl49,You Send Me,['Sam Cooke'],A Cupid's Valentine,60
7eqNATKM78MkWP6aHGXHEV,Put Your Head on My Shoulder,['Paul Anka'],Sings His Favorites,62
1pZn8AX1WulW8IO338hE5D,Blue Moon,['Billie Holiday'],Solitude,67
5TNpCThzzXHEipXGKgNG8T,Cheek To Cheek,"['Ella Fitzgerald', 'Louis Armstrong']",Ella and Louis,63
3aEJMh1cXKEjgh52claxQp,I've Got You Under My Skin - Remastered 1998,['Frank Sinatra'],Songs For Swingin' Lovers! (Remastered),68
2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,['Ray Charles'],"Ray Charles (aka: Hallelujah, I Love Her So)",71
121sjkub4p4zcFNozkKnQD,Folsom Prison Blues,"['Johnny Cash', 'The Tennessee Two']",Sings Hank Williams,61
648TTtYB0bH0P8Hfy0FmkL,Unforgettable,['Nat King Cole'],Unforgettable,71
4l9hml2UCnxoNI3yCdL1BW,My Funny Valentine,['Chet Baker'],Chet Baker Sings,67
4I4aQGNJ2HufloNtB65nxR,That's Amore,"['Dean Martin', 'Dick Stabile And His Orchestra']","Dean Martin: The Capitol Recordings, Vol. 4 (1952-1954)",64
1ntGJDSakqsaw1KhptKrB5,My Prayer,['The Platters'],The Platters,62
2WaYW84yWij5NSCpgSeU2R,You Make Me Feel So Young - Remastered 1998,['Frank Sinatra'],Songs For Swingin' Lovers! (Remastered),65
4LJcNiq2pBb8OeqrGdBJQw,I'm Sorry,['Brenda Lee'],Brenda Lee,61
2gNjmvuQiEd2z9SqyYi8HH,Summertime,"['Ella Fitzgerald', 'Louis Armstrong']",Porgy And Bess,67
5OkKOkdVTKFrYi6GWXkMzR,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,['Dean Martin'],This Is Dean Martin,68
66iKqUazBbTlAEjcZrpDkD,What A Diff'rence A Day Made,['Dinah Washington'],What A Diff'rence A Day Makes! (Expanded Edition),67
56XoFI6v7kbGNdM8ALYWof,Lonesome Town - 1990 Digital Remaster,['Ricky Nelson'],The Legendary Masters Series (Volume 1),52
07ePHsQ0SopWrnCbNjNC2D,Tears on My Pillow,['Little Anthony & The Imperials'],Greatest Hits,56
4BH8EuPAxeFAh1rSWtnGdD,Rags to Riches,['Tony Bennett'],"The Columbia Singles, Vol. 2",55
14t8pLQkLLskPriG8bs96b,Walkin' After Midnight,['Patsy Cline'],Golden Hits Collection,51
